,est,ci.lower,ci.upper
Gcoef,0.889146218,0.88838859,0.889901585
Dcoef,0.881816504,0.880874346,0.882676021
VC_p,3.182938543,3.180744417,3.185111757
VC_pXf1,0.112274576,0.104733094,0.119825467
VC_pXf2,0.113535619,0.110453148,0.116624716
VC_pXf3,0.907983124,0.903632856,0.912354542
VC_pXf1Xf2,0.07457221,0.063857947,0.085255826
VC_pXf1Xf3,0.099095703,0.084024941,0.114141044
VC_pXf2Xf3,0.083155268,0.076986836,0.089298182
VC_pXf1Xf2Xf3,0.858034271,0.838685771,0.87745385
VC_f1,0.068083091,0.063584258,0.073228719
VC_f2,0.002906223,0.00171322,0.00442203
VC_f3,0.083445468,0.077688742,0.089503993
VC_f1Xf2,0.001005206,0.000692578,0.00189992
VC_f1Xf3,0.007020143,0.006228559,0.009307462
VC_f2Xf3,0.00025136,7.08E-05,0.000697042
VC_f1Xf2Xf3,0.001019022,0.001099173,0.002408174
